feedback_id,date,branch,product,client_comment,source
77ee850c-9fab-49c9-804f-7c651420006c,2025-03-16,Lethbridge - West,Mortgage,Great experience with the Unlimited Chequing application process.,Email
e0f5711e-82aa-4849-b2ea-25c743838102,2025-11-17,Calgary - Country Hills,Unlimited Chequing,"The new interface is confusing, I can't find my Business Operating Account details.",Mobile App Survey
ec31df76-416a-4796-bd3a-c00e2ecd2994,2025-04-09,Digital (App/Web),GIC,"Best bank in Alberta, specifically for GIC.",Mobile App Survey
15810232-ec38-4424-8ee4-249200b26344,2025-02-22,Digital (App/Web),No-Fee All-In Digital,"Disappointed with the Mortgage, the fees are too high.",Email
9dfb85fe-c4c5-4987-b522-8d3f48616996,2025-09-29,Digital (App/Web),Gold Cash Rewards Mastercard,Customer service was ridiculous when I called about my Unlimited Chequing.,Mobile App Survey
d9872fea-2717-475f-b30c-ae3b737b6fe6,2025-03-12,Red Deer - Gaetz Ave,Gold Cash Rewards Mastercard,"The Springboard Savings is giving me trouble, log me out randomly.",Call Center Log
3b629875-60e0-4047-817b-363d90c9ca1e,2025-11-10,Lethbridge - West,Business Operating Account,Call me back@@.,Email
92789509-d0aa-40da-9bd4-7ad529cf65b3,2025-03-24,Calgary - 17th Ave,Business Operating Account,Great experience with the No-Fee All-In Digital application process.,Call Center Log
9ead872e-5e81-4ce2-80e9-7a92b3dc2400,2025-10-30,Calgary - Chinook,No-Fee All-In Digital,"The Springboard Savings is giving me trouble, fail to send e-Transfer.",Mobile App Survey
f42fafd3-8bea-41ad-baee-5d9af425fb79,2025-05-18,Lethbridge - West,Business Operating Account,"The new interface is confusing, I can't find my Business Operating Account details.",Mobile App Survey
42304c15-8d2f-425e-b686-31da4be290d8,2025-03-31,Digital (App/Web),No-Fee All-In Digital,"I love the new Springboard Savings, it helps me save money.",Call Center Log
1d37584c-e57b-483a-99bd-95a12f38db6a,2025-04-26,Calgary - Country Hills,Mortgage,I have a question about my account.,Email
230b4eda-47da-4222-b14f-7a1bd61018a4,2026-01-13,Calgary - 17th Ave,Springboard Savings,I have a question about my account.,Email
1b2e2387-d68f-408c-aaf2-c279bc01cd06,2025-10-06,Edmonton - Southgate,Gold Cash Rewards Mastercard,The teller at Edmonton - Southgate was very helpful and solved my issue.,Call Center Log
e37b2d24-9d28-4ba1-93de-5bd043e46622,2026-02-07,Calgary - 17th Ave,Unlimited Chequing,The teller at Digital (App/Web) was very efficient and solved my issue.,Call Center Log
94a59f6a-de0d-4b35-96d3-2d6be7d638f6,2025-06-18,Digital (App/Web),Gold Cash Rewards Mastercard,I tried to use the mobile app but fail to send e-Transfer.,Call Center Log
d064ef25-6a0d-4e1c-80d7-070a02db01c1,2025-03-17,Digital (App/Web),Business Operating Account,Great experience with the GIC application process.,Call Center Log
b551835b-bae3-48b0-953e-38c37e661222,2025-06-15,Calgary - Chinook,Unlimited Chequing,"The Springboard Savings is giving me trouble, ask for security questions I didn't set.",Mobile App Survey
eef51630-04f4-435c-a2e3-db35004e7dba,2025-12-04,Digital (App/Web),Springboard Savings,Biometric login on the app decline my card every time after the update.,Mobile App Survey
e2b0a891-6107-4a85-b432-2061a181d73e,2025-05-01,Edmonton - Southgate,Gold Cash Rewards Mastercard,???,Email
5ebf6412-4bff-473c-b318-aa8497d5706c,2025-11-12,Red Deer - Gaetz Ave,Gold Cash Rewards Mastercard,"The new interface is confusing, I can't find my Mortgage details.",Mobile App Survey
76eb0e54-dc16-43af-84b8-9c3574477abf,2025-07-01,Digital (App/Web),Business Operating Account,"Best bank in Alberta, specifically for Mortgage.",Mobile App Survey
7e405942-bb43-49a3-9c57-a6894fa4637c,2025-10-08,Calgary - 17th Ave,No-Fee All-In Digital,Why does the app always crash on startup when I try to pay bills?,Call Center Log
ba02d0e2-6af1-45fd-b7ac-a24fe4e119d1,2025-03-14,Lethbridge - West,Mortgage,"Disappointed with the Springboard Savings, the fees are too high.",Call Center Log
f6088a5b-d61c-49d5-b2f3-d654d161aab7,2025-07-08,Red Deer - Gaetz Ave,Gold Cash Rewards Mastercard,The staff at Red Deer - Gaetz Ave were so helpful today.,Call Center Log
d36a74f1-4d6d-4510-900b-4cf5634d245d,2025-11-12,Digital (App/Web),No-Fee All-In Digital,The staff at Digital (App/Web) were so friendly today.,Email
bdf65467-20b9-4c38-9d22-3044d44a5b24,2025-06-04,Calgary - Country Hills,No-Fee All-In Digital,"Fraud protection locked my card while I was in Banff, very ridiculous.",Call Center Log
c204cb4b-9a6d-45f3-a3cd-0470bc294bd3,2025-04-20,Calgary - 17th Ave,No-Fee All-In Digital,Great experience with the No-Fee All-In Digital application process.,Mobile App Survey
3b9686e4-7a65-4dad-9457-cd92c1814489,2026-01-04,Calgary - Country Hills,Unlimited Chequing,"Finally, the app works for GIC!",Call Center Log
4411b3bd-1561-4bea-ae53-25aa32776f1b,2025-11-22,Calgary - Chinook,Mortgage,Why does the app always show the wrong balance when I try to pay bills?,Call Center Log
cc5d2d81-95ec-46a7-9de7-be6c3b5e2752,2025-10-01,Calgary - Country Hills,Business Operating Account,The staff at Edmonton - Whythe Ave were so quick today.,Mobile App Survey
c8cd900a-c745-4e2d-9a2f-d0f05951d360,2026-02-16,Edmonton - Southgate,Gold Cash Rewards Mastercard,Great experience with the Unlimited Chequing application process.,Mobile App Survey
c90db9c8-b282-4a60-814c-e91182dfc865,2025-10-18,Edmonton - Southgate,Springboard Savings,Customer service was unacceptable when I called about my Business Operating Account.,Call Center Log
e7473820-77b2-461d-ba99-fd5600ffd077,2025-09-16,Calgary - 17th Ave,Unlimited Chequing,I tried to use the mobile app but crash on startup.,Email
3ed1e23a-db87-4e4b-abc3-cd1e903de7e3,2025-05-22,Lethbridge - West,Unlimited Chequing,The staff at Lethbridge - West were so kind today.,Email
4690f351-ade8-4b51-8a9d-e424831df4de,2025-08-19,Digital (App/Web),Business Operating Account,"Fraud protection locked my card while I was in Banff, very unacceptable.",Mobile App Survey
fb945760-f363-4c2f-8a2c-7d404a084f98,2025-03-30,Calgary - Chinook,Unlimited Chequing,"I love the new Springboard Savings, it helps me save money.",Mobile App Survey
abf3472e-4f9a-4ca7-9bb4-e8fc90443ad3,2025-08-02,Calgary - Country Hills,Springboard Savings,The teller at Edmonton - Whythe Ave was very friendly and solved my issue.,Call Center Log
e7730095-4ead-424c-ab93-33678b06d6ef,2025-09-09,Digital (App/Web),Business Operating Account,Customer service was ridiculous when I called about my GIC.,Mobile App Survey
32df395d-87a8-4913-94a2-f84ede173939,2025-06-18,Calgary - 17th Ave,Gold Cash Rewards Mastercard,Biometric login on the app show the wrong balance every time after the update.,Call Center Log
